# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
1.98000000e+04 1.52653809e+01 1.20784381e+01 9.58468649e+00 7.85462356e+00 6.69207278e+00 
1.99000000e+04 1.52172001e+01 1.20282536e+01 9.54121427e+00 7.81959065e+00 6.66413043e+00 
2.00000000e+04 1.51692320e+01 1.19784556e+01 9.49817096e+00 7.78494562e+00 6.63651095e+00 
2.01000000e+04 1.51214770e+01 1.19290412e+01 9.45555124e+00 7.75068265e+00 6.60920904e+00 
2.02000000e+04 1.50739355e+01 1.18800072e+01 9.41334989e+00 7.71679605e+00 6.58221952e+00 
2.03000000e+04 1.50266079e+01 1.18313508e+01 9.37156171e+00 7.68328021e+00 6.55553727e+00 
2.04000000e+04 1.49794945e+01 1.17830687e+01 9.33018162e+00 7.65012963e+00 6.52915732e+00 
2.05000000e+04 1.49325955e+01 1.17351581e+01 9.28920455e+00 7.61733888e+00 6.50307478e+00 
2.06000000e+04 1.48859110e+01 1.16876159e+01 9.24862555e+00 7.58490265e+00 6.47728485e+00 
2.07000000e+04 1.48394413e+01 1.16404390e+01 9.20843968e+00 7.55281573e+00 6.45178284e+00 
2.08000000e+04 1.47931863e+01 1.15936246e+01 9.16864211e+00 7.52107296e+00 6.42656413e+00 
2.09000000e+04 1.47471462e+01 1.15471695e+01 9.12922804e+00 7.48966932e+00 6.40162421e+00 
2.10000000e+04 1.47013210e+01 1.15010708e+01 9.09019276e+00 7.45859984e+00 6.37695866e+00 
2.11000000e+04 1.46557105e+01 1.14553255e+01 9.05153160e+00 7.42785964e+00 6.35256314e+00 
2.12000000e+04 1.46103147e+01 1.14099307e+01 9.01323996e+00 7.39744395e+00 6.32843338e+00 
2.13000000e+04 1.45651335e+01 1.13648834e+01 8.97531330e+00 7.36734806e+00 6.30456522e+00 
2.14000000e+04 1.45201668e+01 1.13201806e+01 8.93774715e+00 7.33756733e+00 6.28095456e+00 
2.15000000e+04 1.44754142e+01 1.12758195e+01 8.90053708e+00 7.30809724e+00 6.25759740e+00 
2.16000000e+04 1.44308757e+01 1.12317970e+01 8.86367873e+00 7.27893331e+00 6.23448978e+00 
2.17000000e+04 1.43865508e+01 1.11881104e+01 8.82716781e+00 7.25007115e+00 6.21162786e+00 
2.18000000e+04 1.43424394e+01 1.11447567e+01 8.79100006e+00 7.22150645e+00 6.18900784e+00 
2.19000000e+04 1.42985411e+01 1.11017331e+01 8.75517130e+00 7.19323496e+00 6.16662602e+00 
2.20000000e+04 1.42548555e+01 1.10590366e+01 8.71967740e+00 7.16525252e+00 6.14447873e+00 
