# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
1.50000000e+04 1.04658119e+01 1.34858370e+01 1.54428907e+01 1.63778947e+01 1.64964100e+01 
1.51000000e+04 1.05259291e+01 1.35375720e+01 1.54735158e+01 1.63821093e+01 1.64750298e+01 
1.52000000e+04 1.05854802e+01 1.35884060e+01 1.55030676e+01 1.63852865e+01 1.64528179e+01 
1.53000000e+04 1.06444660e+01 1.36383462e+01 1.55315616e+01 1.63874479e+01 1.64297992e+01 
1.54000000e+04 1.07028876e+01 1.36874001e+01 1.55590130e+01 1.63886152e+01 1.64059978e+01 
1.55000000e+04 1.07607461e+01 1.37355753e+01 1.55854369e+01 1.63888094e+01 1.63814374e+01 
1.56000000e+04 1.08180427e+01 1.37828794e+01 1.56108485e+01 1.63880514e+01 1.63561412e+01 
1.57000000e+04 1.08747787e+01 1.38293199e+01 1.56352626e+01 1.63863616e+01 1.63301319e+01 
1.58000000e+04 1.09309556e+01 1.38749045e+01 1.56586941e+01 1.63837602e+01 1.63034315e+01 
1.59000000e+04 1.09865748e+01 1.39196409e+01 1.56811577e+01 1.63802672e+01 1.62760619e+01 
1.60000000e+04 1.10416378e+01 1.39635369e+01 1.57026681e+01 1.63759022e+01 1.62480441e+01 
1.61000000e+04 1.10961465e+01 1.40066001e+01 1.57232397e+01 1.63706843e+01 1.62193990e+01 
1.62000000e+04 1.11501026e+01 1.40488383e+01 1.57428868e+01 1.63646325e+01 1.61901467e+01 
1.63000000e+04 1.12035077e+01 1.40902594e+01 1.57616238e+01 1.63577656e+01 1.61603072e+01 
1.64000000e+04 1.12563640e+01 1.41308711e+01 1.57794646e+01 1.63501018e+01 1.61298998e+01 
1.65000000e+04 1.13086733e+01 1.41706812e+01 1.57964233e+01 1.63416592e+01 1.60989433e+01 
1.66000000e+04 1.13604377e+01 1.42096975e+01 1.58125138e+01 1.63324556e+01 1.60674564e+01 
1.67000000e+04 1.14116593e+01 1.42479279e+01 1.58277497e+01 1.63225084e+01 1.60354570e+01 
1.68000000e+04 1.14623403e+01 1.42853802e+01 1.58421446e+01 1.63118348e+01 1.60029629e+01 
1.69000000e+04 1.15124829e+01 1.43220622e+01 1.58557119e+01 1.63004517e+01 1.59699912e+01 
1.70000000e+04 1.15620895e+01 1.43579816e+01 1.58684649e+01 1.62883756e+01 1.59365589e+01 
1.71000000e+04 1.16111623e+01 1.43931463e+01 1.58804169e+01 1.62756229e+01 1.59026823e+01 
1.72000000e+04 1.16597037e+01 1.44275641e+01 1.58915807e+01 1.62622097e+01 1.58683775e+01 
1.73000000e+04 1.17077164e+01 1.44612427e+01 1.59019693e+01 1.62481515e+01 1.58336602e+01 
1.74000000e+04 1.17552026e+01 1.44941899e+01 1.59115955e+01 1.62334639e+01 1.57985457e+01 
1.75000000e+04 1.18021651e+01 1.45264134e+01 1.59204717e+01 1.62181621e+01 1.57630490e+01 
1.76000000e+04 1.18486063e+01 1.45579208e+01 1.59286105e+01 1.62022611e+01 1.57271846e+01 
1.77000000e+04 1.18945289e+01 1.45887200e+01 1.59360241e+01 1.61857754e+01 1.56909667e+01 
1.78000000e+04 1.19399357e+01 1.46188185e+01 1.59427247e+01 1.61687195e+01 1.56544094e+01 
1.79000000e+04 1.19848293e+01 1.46482239e+01 1.59487244e+01 1.61511075e+01 1.56175260e+01 
1.80000000e+04 1.20292124e+01 1.46769439e+01 1.59540350e+01 1.61329533e+01 1.55803299e+01 
1.81000000e+04 1.20730879e+01 1.47049861e+01 1.59586682e+01 1.61142704e+01 1.55428339e+01 
1.82000000e+04 1.21164586e+01 1.47323578e+01 1.59626356e+01 1.60950724e+01 1.55050507e+01 
1.83000000e+04 1.21593273e+01 1.47590667e+01 1.59659487e+01 1.60753722e+01 1.54669924e+01 
1.84000000e+04 1.22016969e+01 1.47851202e+01 1.59686188e+01 1.60551829e+01 1.54286711e+01 
1.85000000e+04 1.22435703e+01 1.48105256e+01 1.59706570e+01 1.60345169e+01 1.53900984e+01 
1.86000000e+04 1.22849505e+01 1.48352905e+01 1.59720744e+01 1.60133868e+01 1.53512858e+01 
1.87000000e+04 1.23258404e+01 1.48594220e+01 1.59728817e+01 1.59918048e+01 1.53122443e+01 
1.88000000e+04 1.23662429e+01 1.48829275e+01 1.59730898e+01 1.59697826e+01 1.52729847e+01 
1.89000000e+04 1.24061611e+01 1.49058143e+01 1.59727093e+01 1.59473322e+01 1.52335176e+01 
1.90000000e+04 1.24455980e+01 1.49280895e+01 1.59717506e+01 1.59244649e+01 1.51938533e+01 
1.91000000e+04 1.24845566e+01 1.49497603e+01 1.59702240e+01 1.59011920e+01 1.51540017e+01 
1.92000000e+04 1.25230399e+01 1.49708338e+01 1.59681397e+01 1.58775246e+01 1.51139727e+01 
1.93000000e+04 1.25610512e+01 1.49913170e+01 1.59655078e+01 1.58534736e+01 1.50737757e+01 
1.94000000e+04 1.25985933e+01 1.50112171e+01 1.59623381e+01 1.58290495e+01 1.50334201e+01 
1.95000000e+04 1.26356694e+01 1.50305408e+01 1.59586405e+01 1.58042628e+01 1.49929147e+01 
1.96000000e+04 1.26722827e+01 1.50492953e+01 1.59544245e+01 1.57791238e+01 1.49522686e+01 
1.97000000e+04 1.27084362e+01 1.50674872e+01 1.59496997e+01 1.57536424e+01 1.49114901e+01 
1.98000000e+04 1.27441330e+01 1.50851234e+01 1.59444755e+01 1.57278284e+01 1.48705877e+01 
1.99000000e+04 1.27793763e+01 1.51022107e+01 1.59387610e+01 1.57016915e+01 1.48295694e+01 
2.00000000e+04 1.28141692e+01 1.51187558e+01 1.59325654e+01 1.56752412e+01 1.47884432e+01 
2.01000000e+04 1.28485149e+01 1.51347653e+01 1.59258978e+01 1.56484867e+01 1.47472168e+01 
2.02000000e+04 1.28824166e+01 1.51502458e+01 1.59187668e+01 1.56214371e+01 1.47058976e+01 
2.03000000e+04 1.29158773e+01 1.51652040e+01 1.59111814e+01 1.55941012e+01 1.46644930e+01 
2.04000000e+04 1.29489002e+01 1.51796461e+01 1.59031500e+01 1.55664877e+01 1.46230101e+01 
2.05000000e+04 1.29814885e+01 1.51935788e+01 1.58946811e+01 1.55386053e+01 1.45814557e+01 
2.06000000e+04 1.30136453e+01 1.52070083e+01 1.58857832e+01 1.55104622e+01 1.45398367e+01 
2.07000000e+04 1.30453739e+01 1.52199411e+01 1.58764644e+01 1.54820667e+01 1.44981595e+01 
2.08000000e+04 1.30766773e+01 1.52323833e+01 1.58667328e+01 1.54534268e+01 1.44564305e+01 
2.09000000e+04 1.31075588e+01 1.52443412e+01 1.58565965e+01 1.54245503e+01 1.44146559e+01 
2.10000000e+04 1.31380214e+01 1.52558209e+01 1.58460634e+01 1.53954450e+01 1.43728417e+01 
2.11000000e+04 1.31680684e+01 1.52668286e+01 1.58351411e+01 1.53661183e+01 1.43309938e+01 
2.12000000e+04 1.31977029e+01 1.52773703e+01 1.58238373e+01 1.53365778e+01 1.42891179e+01 
2.13000000e+04 1.32269280e+01 1.52874520e+01 1.58121596e+01 1.53068305e+01 1.42472195e+01 
2.14000000e+04 1.32557468e+01 1.52970796e+01 1.58001154e+01 1.52768837e+01 1.42053040e+01 
2.15000000e+04 1.32841626e+01 1.53062591e+01 1.57877120e+01 1.52467442e+01 1.41633765e+01 
2.16000000e+04 1.33121785e+01 1.53149961e+01 1.57749565e+01 1.52164189e+01 1.41214423e+01 
2.17000000e+04 1.33397975e+01 1.53232965e+01 1.57618561e+01 1.51859144e+01 1.40795062e+01 
2.18000000e+04 1.33670228e+01 1.53311661e+01 1.57484177e+01 1.51552372e+01 1.40375731e+01 
2.19000000e+04 1.33938575e+01 1.53386104e+01 1.57346482e+01 1.51243937e+01 1.39956475e+01 
2.20000000e+04 1.34203047e+01 1.53456351e+01 1.57205544e+01 1.50933901e+01 1.39537341e+01 
2.21000000e+04 1.34463676e+01 1.53522457e+01 1.57061430e+01 1.50622327e+01 1.39118372e+01 
2.22000000e+04 1.34720491e+01 1.53584477e+01 1.56914204e+01 1.50309272e+01 1.38699611e+01 
2.23000000e+04 1.34973523e+01 1.53642465e+01 1.56763932e+01 1.49994797e+01 1.38281099e+01 
2.24000000e+04 1.35222804e+01 1.53696475e+01 1.56610676e+01 1.49678957e+01 1.37862877e+01 
2.25000000e+04 1.35468364e+01 1.53746561e+01 1.56454501e+01 1.49361811e+01 1.37444984e+01 
2.26000000e+04 1.35710233e+01 1.53792775e+01 1.56295466e+01 1.49043411e+01 1.37027457e+01 
2.27000000e+04 1.35948441e+01 1.53835169e+01 1.56133633e+01 1.48723813e+01 1.36610333e+01 
2.28000000e+04 1.36183020e+01 1.53873795e+01 1.55969062e+01 1.48403069e+01 1.36193648e+01 
2.29000000e+04 1.36413998e+01 1.53908704e+01 1.55801811e+01 1.48081229e+01 1.35777437e+01 
2.30000000e+04 1.36641406e+01 1.53939947e+01 1.55631938e+01 1.47758345e+01 1.35361733e+01 
2.31000000e+04 1.36865274e+01 1.53967573e+01 1.55459500e+01 1.47434466e+01 1.34946569e+01 
2.32000000e+04 1.37085632e+01 1.53991632e+01 1.55284552e+01 1.47109639e+01 1.34531975e+01 
2.33000000e+04 1.37302508e+01 1.54012173e+01 1.55107151e+01 1.46783912e+01 1.34117983e+01 
2.34000000e+04 1.37515933e+01 1.54029244e+01 1.54927350e+01 1.46457332e+01 1.33704623e+01 
2.35000000e+04 1.37725936e+01 1.54042893e+01 1.54745202e+01 1.46129942e+01 1.33291922e+01 
2.36000000e+04 1.37932546e+01 1.54053168e+01 1.54560760e+01 1.45801788e+01 1.32879909e+01 
