#Idx,EeV,g,rIn,v,J,ECB,Group
3511,-4.469945e-01,2.750000e+01,1.822170e+00,30,27,4.514321e-01,37
3512,-4.448186e-01,1.025000e+02,1.944238e+00,19,102,8.387958e-01,34
3513,-4.424799e-01,4.050000e+01,1.831833e+00,29,40,4.566631e-01,37
3514,-4.417641e-01,7.150000e+01,1.872542e+00,25,71,5.850197e-01,36
3515,-4.417049e-01,1.445000e+02,2.132559e+00,8,144,1.364743e+00,31
3516,-4.409150e-01,7.750000e+01,1.883592e+00,24,77,6.242944e-01,36
3517,-4.408584e-01,2.850000e+01,1.822547e+00,30,28,4.457979e-01,37
3518,-4.387554e-01,5.000000e-01,1.813590e+00,31,0,4.387554e-01,37
3519,-4.385403e-01,1.500000e+00,1.813603e+00,31,1,4.385410e-01,37
3520,-4.381973e-01,1.155000e+02,1.986789e+00,16,115,9.711486e-01,33
3521,-4.381101e-01,2.500000e+00,1.813630e+00,31,2,4.381134e-01,37
3522,-4.375967e-01,1.195000e+02,2.002054e+00,15,119,1.017614e+00,33
3523,-4.374648e-01,3.500000e+00,1.813670e+00,31,3,4.374739e-01,37
3524,-4.370679e-01,8.850000e+01,1.906923e+00,22,88,7.042742e-01,35
3525,-4.366183e-01,9.350000e+01,1.919096e+00,21,93,7.464591e-01,35
3526,-4.366046e-01,4.500000e+00,1.813724e+00,31,4,4.366240e-01,37
3527,-4.360384e-01,5.050000e+01,1.841909e+00,28,50,4.683479e-01,37
3528,-4.355296e-01,5.500000e+00,1.813792e+00,31,5,4.355651e-01,37
3529,-4.352157e-01,1.115000e+02,1.972347e+00,17,111,9.231528e-01,33
3530,-4.351156e-01,6.550000e+01,1.862278e+00,26,65,5.420726e-01,36
3531,-4.348488e-01,5.850000e+01,1.851976e+00,27,58,5.041619e-01,37
3532,-4.345108e-01,2.950000e+01,1.822937e+00,30,29,4.399889e-01,37
3533,-4.342399e-01,6.500000e+00,1.813872e+00,31,6,4.342985e-01,37
3534,-4.333581e-01,4.150000e+01,1.832387e+00,29,41,4.486198e-01,37
3535,-4.332888e-01,1.235000e+02,2.018210e+00,14,123,1.062462e+00,33
3536,-4.328274e-01,1.345000e+02,2.070806e+00,11,134,1.208257e+00,32
3537,-4.327357e-01,7.500000e+00,1.813967e+00,31,7,4.328257e-01,37
3538,-4.322392e-01,8.350000e+01,1.895456e+00,23,83,6.596671e-01,35
