t [s],Y_O2(1),Y_O2(2),Y_O2(3),Y_O,T [K],p [Pa],n [m^-3],E [J/kg]
0.05494648550763251,0.6689767490382216,0.0017644349984333072,1.6361590515186452e-06,0.3292571798026615,2731.815890203991,1770.2518693997542,4.693538148747475e+22,7224598.12252375
0.05504648550763251,0.6689628696042912,0.0017631516849046934,1.6338150427116939e-06,0.3292723448941297,2731.5504308665604,1770.100042634686,4.693591695898784e+22,7224823.739547747
0.055146485507632514,0.6689490178468075,0.001761871661634129,1.6314786875264848e-06,0.32928747901123917,2731.2855112973944,1769.9485204868995,4.693645133681239e+22,7225048.899243902
0.05524648550763252,0.66893519366041,0.001760594914206636,1.6291499470717077e-06,0.32930258227380466,2731.0211294138458,1769.7973017902339,4.693698462517901e+22,7225273.603372427
0.05534648550763252,0.6689213969403254,0.0017593214282984083,1.6268287827568494e-06,0.3293176548009617,2730.7572831450793,1769.6463853851046,4.693751682829428e+22,7225497.8536835965
0.05544648550763252,0.6689076275823683,0.0017580511896724226,1.6245151562276335e-06,0.32933269671117144,2730.4939704320454,1769.495770118499,4.693804795034104e+22,7225721.651917817
0.055546485507632526,0.6688938854829378,0.0017567841841769703,1.6222090293517789e-06,0.32934770812222397,2730.2311892273365,1769.3454548438845,4.693857799547836e+22,7225944.999805652
0.05564648550763253,0.668880170539013,0.001755520397748757,1.619910364280365e-06,0.329362689151242,2729.9689374950294,1769.195438421116,4.693910696784181e+22,7226167.899067907
0.05574648550763253,0.6688664826481429,0.0017542598164138324,1.617619123472746e-06,0.3293776399146881,2729.707213210633,1769.0457197164133,4.693963487154362e+22,7226390.351415741
0.055846485507632534,0.6688528217084443,0.0017530024262831596,1.615335269631007e-06,0.3293925605283713,2729.4460143611,1768.896297602375,4.694016171067294e+22,7226612.358550746
0.05594648550763254,0.6688391876186035,0.0017517482135494136,1.6130587656553446e-06,0.3294074511074495,2729.1853389447174,1768.7471709579177,4.6940687489295935e+22,7226833.922164961
0.05604648550763254,0.6688255802778705,0.0017504971644897844,1.6107895747011882e-06,0.329422311766433,2728.9251849709162,1768.5983386681553,4.694121221145591e+22,7227055.04394095
0.05614648550763254,0.668811999586049,0.0017492492654687622,1.6085276602347e-06,0.3294371426191898,2728.6655504601954,1768.4497996243583,4.694173588117347e+22,7227275.725551894
0.056246485507632546,0.6687984454434931,0.001748004502934495,1.606272985979531e-06,0.3294519437789543,2728.4064334441546,1768.3015527239893,4.694225850244688e+22,7227495.968661702
0.05634648550763255,0.6687849177511084,0.0017467628634137815,1.604025515842085e-06,0.3294667153583299,2728.147831965428,1768.153596870664,4.69427800792521e+22,7227715.774925027
0.05644648550763255,0.6687714164103499,0.0017455243335136904,1.6017852139480741e-06,0.3294814574692903,2727.8897440774904,1768.0059309740284,4.694330061554287e+22,7227935.145987297
0.056546485507632555,0.6687579413232112,0.001744288899926091,1.5995520447273288e-06,0.32949617022318545,2727.632167844528,1767.858553949685,4.69438201152509e+22,7228154.083484826
0.05664648550763256,0.6687444923922196,0.0017430565494257022,1.5973259728887173e-06,0.3295108537307495,2727.375101341478,1767.7114647192316,4.694433858228615e+22,7228372.589044929
0.05674648550763256,0.6687310695204354,0.001741827268863628,1.5951069633200319e-06,0.3295255081021053,2727.118542654025,1767.5646622102622,4.6944856020537e+22,7228590.664285951
0.05684648550763256,0.6687176726114554,0.0017406010451668688,1.592894981088997e-06,0.32954013344676425,2726.862489878415,1767.418145356252,4.694537243387024e+22,7228808.3108172715
0.056946485507632566,0.6687043015694009,0.0017393778653440183,1.5906899915476954e-06,0.3295547298736313,2726.6069411212707,1767.2719130964433,4.694588782613126e+22,7229025.5302394
0.05704648550763257,0.6686909562989092,0.0017381577164858868,1.58849196035049e-06,0.32956929749101244,2726.351894499614,1767.125964375872,4.694640220114426e+22,7229242.324144107
0.05714648550763257,0.6686776367051351,0.0017369405857583786,1.5863008533419662e-06,0.3295838364066209,2726.097348140922,1766.9802981454125,4.694691556271256e+22,7229458.694114469
0.057246485507632575,0.6686643426937547,0.001735726460399137,1.584116636509623e-06,0.32959834672757765,2725.8433001829767,1766.8349133616837,4.694742791461854e+22,7229674.641724866
0.05734648550763258,0.6686510741709559,0.0017345153277233487,1.5819392760899985e-06,0.32961282856041296,2725.5897487736397,1766.689808986906,4.694793926062375e+22,7229890.168541033
0.05744648550763258,0.6686378310434277,0.0017333071751275526,1.5797687386400388e-06,0.3296272820110743,2725.336692070812,1766.5449839888845,4.69484496044691e+22,7230105.276120202
0.05754648550763258,0.6686246132183599,0.0017321019900831303,1.5776049909346533e-06,0.3296417071849343,2725.0841282425486,1766.4004373410992,4.6948958949875254e+22,7230319.966011193
